[1509886888.258053],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.264224],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.265340],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.265932],log level:0,thread name:temp ,temp:is alive
[1509886888.266625],log level:0,thread name:decision ,decision:is alive
[1509886888.266812],log level:0,thread name:log ,log:is alive
[1509886888.270844],log level:0,thread name:light sensor ,light sensor: Luminosity is 3.032591
[1509886888.271159],log level:0,thread name:light ,light:is alive
[1509886888.274877],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.275907],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.276658],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.277142],log level:0,thread name:temp ,temp:is alive
[1509886888.278836],log level:0,thread name:decision ,decision:is alive
[1509886888.279291],log level:0,thread name:log ,log:is alive
[1509886888.283109],log level:0,thread name:light sensor ,light sensor: Luminosity is 3.032591
[1509886888.284500],log level:0,thread name:light ,light:is alive
[1509886888.288168],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.288956],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.292383],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.292957],log level:0,thread name:temp ,temp:is alive
[1509886888.296681],log level:0,thread name:decision ,decision:is alive
[1509886888.297234],log level:0,thread name:log ,log:is alive
[1509886888.301799],log level:0,thread name:light sensor ,light sensor: Luminosity is 3.032591
[1509886888.303226],log level:0,thread name:light ,light:is alive
[1509886888.308520],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.310571],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.312529],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.313107],log level:0,thread name:temp ,temp:is alive
[1509886888.315822],log level:0,thread name:decision ,decision:is alive
[1509886888.316369],log level:0,thread name:log ,log:is alive
[1509886888.323077],log level:0,thread name:light sensor ,light sensor: Luminosity is 3.032591
[1509886888.323393],log level:0,thread name:light ,light:is alive
[1509886888.326255],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.326755],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.328484],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.329028],log level:0,thread name:temp ,temp:is alive
[1509886888.329862],log level:0,thread name:decision ,decision:is alive
[1509886888.330327],log level:0,thread name:log ,log:is alive
[1509886888.335142],log level:0,thread name:light sensor ,light sensor: Luminosity is 3.032591
[1509886888.337478],log level:0,thread name:light ,light:is alive
[1509886888.341647],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.342453],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.343388],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.347046],log level:0,thread name:temp ,temp:is alive
[1509886888.348800],log level:0,thread name:decision ,decision:is alive
[1509886888.349414],log level:0,thread name:log ,log:is alive
[1509886888.353167],log level:0,thread name:light sensor ,light sensor: Luminosity is 3.032591
[1509886888.354405],log level:0,thread name:light ,light:is alive
[1509886888.358338],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.359074],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.362236],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.362500],log level:0,thread name:temp ,temp:is alive
[1509886888.363932],log level:0,thread name:decision ,decision:is alive
[1509886888.364589],log level:0,thread name:log ,log:is alive
